"Total Number of Words Containing and Related to ""[Rr]uh"" in Whole Text",
Occurrences,Term
56,ruhe
28,ruhend
20,ruhen
17,ruhm
16,ruhte
15,ruht
15,ruhig
10,ruhenden
8,beruhigung
6,unruhe
6,ruhende
5,ruhten
5,beunruhigend
5,beruhigt
4,ruhmes
4,ruhigen
4,ruhendes
4,beruhigender
3,beunruhigt
3,beruhigen
2,unruhigen
2,ruhmsucht
2,ruhige
2,ruhender
2,ruhendem
2,ruhelosigkeit
2,ruhebedürftigkeit
2,ruh
2,beunruhigung
2,beunruhigen
2,beruhigte
1,überruhe
1,verführerischberuhigende
1,unruhigem
1,unruhig
1,umruhenden
1,sternruhe
1,sonnenruhe
1,ruhigeres
1,ruhigerem
1,ruhiger
1,ruhevoll
1,ruhetragenden
1,ruhetragend
1,ruhetages
1,ruhespendenden
1,ruhelosen
1,ruhelager
1,ruhehauch
1,ruheflimmernd
1,ruhebetten
1,ruhebedürftig
1,ruhebedürfig
1,mächtigruhend
1,meeresruhe
1,leisruhig
1,hineinruhend
1,gleichenruhten
1,gestaltenruhe
1,dahinruhen
1,beunruhigter
1,beunruhigende
1,beruht
1,beruhigter
1,beruhi
1,beruhend
1,ausruht
1,aufruhte
293,TOTAL (Tm)
