Overall Word Counts in Der Tod des Vergil by Hermann Broch,,
Total Number of Instances,Word,As Percentage of All Words in Novel
5245,und,3.61%
4794,der,3.30%
4265,die,2.94%
2614,das,1.80%
2304,es,1.59%
2280,in,1.57%
1926,war,1.33%
1842,des,1.27%
1783,zu,1.23%
1764,er,1.21%
1584,sich,1.09%
1534,den,1.06%
1530,nicht,1.05%
1431,dem,0.99%
1316,sie,0.91%
1135,von,0.78%
1099,ist,0.76%
938,ein,0.65%
927,als,0.64%
918,du,0.63%
852,mit,0.59%
797,im,0.55%
793,so,0.55%
778,ich,0.54%
777,noch,0.53%
773,daß,0.53%
713,wie,0.49%
674,auch,0.46%
593,auf,0.41%
589,hatte,0.41%
563,an,0.39%
558,um,0.38%
556,mehr,0.38%
544,aus,0.37%
522,zur,0.36%
514,ihm,0.35%
482,da,0.33%
472,zum,0.32%
466,für,0.32%
461,sein,0.32%
453,nur,0.31%
438,oh,0.30%
397,nichts,0.27%
382,eine,0.26%
375,doch,0.26%
361,ihn,0.25%
348,wird,0.24%
338,vor,0.23%
335,aber,0.23%
332,selber,0.23%
326,wurde,0.22%
322,werden,0.22%
316,über,0.22%
306,dies,0.21%
298,ihr,0.21%
294,immer,0.20%
288,denn,0.20%
282,wieder,0.19%
267,vom,0.18%
267,ja,0.18%
267,dir,0.18%
266,nun,0.18%
262,oder,0.18%
259,wir,0.18%
256,einem,0.18%
242,ihrer,0.17%
237,waren,0.16%
235,sehr,0.16%
235,einer,0.16%
235,alles,0.16%
233,ohne,0.16%
232,wenn,0.16%
232,seiner,0.16%
231,dich,0.16%
230,ins,0.16%
229,was,0.16%
229,nach,0.16%
229,durch,0.16%
219,selbst,0.15%
216,gewesen,0.15%
215,seine,0.15%
214,hat,0.15%
210,mir,0.14%
201,augustus,0.14%
198,zeit,0.14%
192,schon,0.13%
181,wirklichkeit,0.12%
179,sind,0.12%
177,vergil,0.12%
175,mich,0.12%
175,menschen,0.12%
173,ihre,0.12%
169,weil,0.12%
167,hier,0.11%
164,man,0.11%
162,hast,0.11%
161,erkenntnis,0.11%
161,alle,0.11%
156,wäre,0.11%
153,nacht,0.11%
151,kein,0.10%
148,unter,0.10%
148,plotius,0.10%
148,dein,0.10%
147,wissen,0.10%
147,dort,0.10%
146,hätte,0.10%
145,keine,0.10%
143,stimme,0.10%
141,mein,0.10%
140,cäsar,0.10%
138,uns,0.10%
138,all,0.10%
137,lucius,0.09%
137,leben,0.09%
137,ihnen,0.09%
137,am,0.09%
136,haben,0.09%
136,dieses,0.09%
136,diese,0.09%
135,damit,0.09%
135,bis,0.09%
134,dennoch,0.09%
133,habe,0.09%
133,dieser,0.09%
132,jetzt,0.09%
132,geworden,0.09%
132,bloß,0.09%
131,seinem,0.09%
130,trotzdem,0.09%
130,ob,0.09%
130,eines,0.09%
128,zwischen,0.09%
127,etwas,0.09%
125,einen,0.09%
120,irdischen,0.08%
119,bist,0.08%
118,dann,0.08%
117,sogar,0.08%
115,dessen,0.08%
113,muß,0.08%
113,kaum,0.08%
112,schönheit,0.08%
110,wohl,0.08%
110,aller,0.08%
109,will,0.08%
109,niemals,0.08%
109,einmal,0.08%
108,weiter,0.07%
108,tod,0.07%
108,liebe,0.07%
106,plotia,0.07%
105,mußte,0.07%
105,allein,0.07%
104,deine,0.07%
102,seinen,0.07%
102,schicksal,0.07%
102,sagte,0.07%
100,knabe,0.07%
100,also,0.07%
99,bei,0.07%
98,sprache,0.07%
96,sondern,0.07%
96,seele,0.07%
95,deren,0.07%
94,vielleicht,0.06%
94,nein,0.06%
93,wer,0.06%
93,hin,0.06%
93,bin,0.06%
92,seines,0.06%
92,namen,0.06%
92,einheit,0.06%
91,welt,0.06%
91,ihrem,0.06%
90,äneis,0.06%
89,wo,0.06%
89,welche,0.06%
89,sollte,0.06%
89,schöpfung,0.06%
89,können,0.06%
88,zugleich,0.06%
88,neue,0.06%
88,fast,0.06%
87,wußte,0.06%
86,worden,0.06%
86,hand,0.06%
86,eben,0.06%
85,sinnbild,0.06%
85,kunst,0.06%
85,kann,0.06%
83,mensch,0.06%
83,meine,0.06%
83,götter,0.06%
83,bereits,0.06%
82,nochmals,0.06%
82,müssen,0.06%
82,letzten,0.06%
81,sklave,0.06%
81,obwohl,0.06%
81,licht,0.06%
81,gegen,0.06%
81,erinnerung,0.06%
80,sei,0.06%
80,recht,0.06%
79,stand,0.05%
79,je,0.05%
78,würde,0.05%
77,ging,0.05%
77,diesem,0.05%
76,werde,0.05%
76,konnte,0.05%
75,wollte,0.05%
75,seins,0.05%
75,dichtung,0.05%
74,werk,0.05%
74,wahrheit,0.05%
74,grenze,0.05%
74,ach,0.05%
73,hinter,0.05%
73,eigenen,0.05%
73,augen,0.05%
72,soll,0.05%
70,tat,0.05%
69,wollen,0.05%
69,knaben,0.05%
68,weg,0.05%
68,hatten,0.05%
68,andere,0.05%
67,stets,0.05%
67,ihren,0.05%
67,gedicht,0.05%
67,erde,0.05%
66,willen,0.05%
66,lachen,0.05%
66,gab,0.05%
65,zurück,0.04%
65,darum,0.04%
65,darf,0.04%
64,vermag,0.04%
64,innen,0.04%
64,freilich,0.04%
63,raum,0.04%
63,menschlichen,0.04%
63,kam,0.04%
63,blick,0.04%
63,außen,0.04%
62,staat,0.04%
62,hilfe,0.04%
62,erst,0.04%
62,bleibt,0.04%
61,willst,0.04%
61,sklaven,0.04%
61,gesicht,0.04%
61,ewig,0.04%
60,wenig,0.04%
60,unten,0.04%
60,stille,0.04%
60,geschehen,0.04%
59,ziel,0.04%
59,hoffnung,0.04%
59,eigene,0.04%
59,auge,0.04%
59,aufs,0.04%
59,antwort,0.04%
58,ließ,0.04%
58,kraft,0.04%
58,jeder,0.04%
58,irdische,0.04%
57,während,0.04%
57,wahrlich,0.04%
57,schatten,0.04%
57,mag,0.04%
56,weiß,0.04%
56,sehnsucht,0.04%
56,ruhe,0.04%
56,lassen,0.04%
56,landschaft,0.04%
56,indes,0.04%
56,gleichsam,0.04%
56,ganz,0.04%
56,bleiben,0.04%
55,weit,0.04%
55,lag,0.04%
55,dürfen,0.04%
55,bild,0.04%
54,worte,0.04%
54,volk,0.04%
54,viel,0.04%
54,lebens,0.04%
54,gibt,0.04%
54,gestalt,0.04%
54,darüber,0.04%
54,allen,0.04%
53,wurden,0.04%
53,lysanias,0.04%
53,leere,0.04%
53,denen,0.04%
53,blieb,0.04%
53,angst,0.04%
52,ward,0.04%
52,tiefe,0.04%
52,lächeln,0.04%
52,leise,0.04%
52,keiner,0.04%
52,jener,0.04%
52,gut,0.04%
52,beiden,0.04%
52,beide,0.04%
51,warum,0.04%
51,unendlich,0.04%
51,sah,0.04%
51,pflicht,0.04%
51,ende,0.04%
51,deiner,0.04%
51,beinahe,0.04%
50,octavian,0.03%
50,oben,0.03%
50,jenseits,0.03%
50,ihres,0.03%
49,weder,0.03%
49,solch,0.03%
49,gar,0.03%
48,wort,0.03%
48,tun,0.03%
48,römischen,0.03%
48,menschliche,0.03%
48,arzt,0.03%
47,traum,0.03%
46,wirklich,0.03%
46,rom,0.03%
46,jedoch,0.03%
46,gleichnis,0.03%
46,geblieben,0.03%
46,augenblick,0.03%
45,vergessen,0.03%
45,stern,0.03%
45,steht,0.03%
45,solcher,0.03%
45,ordnung,0.03%
45,mochte,0.03%
45,himmel,0.03%
45,hielt,0.03%
45,größer,0.03%
45,geschah,0.03%
45,form,0.03%
45,erfüllt,0.03%
44,warten,0.03%
44,tode,0.03%
44,letzte,0.03%
44,jedem,0.03%
44,irdisch,0.03%
44,heute,0.03%
44,her,0.03%
44,gott,0.03%
44,erkennen,0.03%
44,allem,0.03%
43,ferne,0.03%
43,ebenso,0.03%
43,dabei,0.03%
42,seltsam,0.03%
42,sehen,0.03%
42,jedes,0.03%
42,hinaus,0.03%
42,daran,0.03%
42,andern,0.03%
41,zwar,0.03%
41,zufall,0.03%
41,unheil,0.03%
41,sterben,0.03%
41,neben,0.03%
41,mutter,0.03%
41,fahrt,0.03%
41,dichter,0.03%
41,deinem,0.03%
40,welcher,0.03%
40,tag,0.03%
40,sprach,0.03%
40,sonne,0.03%
40,opfer,0.03%
40,meinen,0.03%
40,lange,0.03%
40,könnte,0.03%
40,keinen,0.03%
40,hören,0.03%
40,großen,0.03%
40,gleich,0.03%
40,gerade,0.03%
40,ersten,0.03%
40,einander,0.03%
40,durfte,0.03%
40,darauf,0.03%
39,überhaupt,0.03%
39,vater,0.03%
39,todes,0.03%
39,seit,0.03%
39,notwendigkeit,0.03%
39,jede,0.03%
39,genau,0.03%
39,frage,0.03%
39,flucht,0.03%
39,einzigen,0.03%
39,deinen,0.03%
38,zimmer,0.03%
38,schritt,0.03%
38,niemand,0.03%
38,macht,0.03%
38,echo,0.03%
38,atem,0.03%
37,zeigte,0.03%
37,spiel,0.03%
37,sonst,0.03%
37,sicherlich,0.03%
37,oberfläche,0.03%
37,mitte,0.03%
37,große,0.03%
37,gesetz,0.03%
37,dunkelheit,0.03%
37,aufgabe,0.03%
36,wiederum,0.02%
36,solche,0.02%
36,saß,0.02%
36,ringsum,0.02%
36,plötzlich,0.02%
36,keinerlei,0.02%
36,etwa,0.02%
36,anfang,0.02%
36,anderen,0.02%
35,volkes,0.02%
35,unendlichkeit,0.02%
35,traumes,0.02%
35,jene,0.02%
35,herz,0.02%
35,hauch,0.02%
35,ganzen,0.02%
35,freiheit,0.02%
35,einst,0.02%
35,ehe,0.02%
35,diesen,0.02%
35,davon,0.02%
34,stimmen,0.02%
34,gehört,0.02%
34,cäsars,0.02%
34,begann,0.02%
33,verse,0.02%
33,verschwunden,0.02%
33,schien,0.02%
33,nimmermehr,0.02%
33,heimkehr,0.02%
33,getragen,0.02%
33,fenster,0.02%
33,eingeschlossen,0.02%
33,eher,0.02%
32,zukunft,0.02%
32,verwandelt,0.02%
32,schweigen,0.02%
32,reich,0.02%
32,nähe,0.02%
32,göttern,0.02%
32,desto,0.02%
32,ab,0.02%
31,äneas,0.02%
31,wirst,0.02%
31,wein,0.02%
31,viele,0.02%
31,trotz,0.02%
31,stelle,0.02%
31,sichtbar,0.02%
31,lauschen,0.02%
31,kleinen,0.02%
31,himmels,0.02%
31,grenzen,0.02%
31,frömmigkeit,0.02%
31,eigentlich,0.02%
31,daher,0.02%
31,blindheit,0.02%
31,befehl,0.02%
31,außerhalb,0.02%
30,zeiten,0.02%
30,wunsch,0.02%
30,unsichtbaren,0.02%
30,spiegel,0.02%
30,gebracht,0.02%
30,fühlte,0.02%
30,freunde,0.02%
30,finger,0.02%
30,dämmerung,0.02%
30,brust,0.02%
29,voll,0.02%
29,verloren,0.02%
29,unsere,0.02%
29,stadt,0.02%
29,schwebte,0.02%
29,minder,0.02%
29,milde,0.02%
29,leicht,0.02%
29,jeglicher,0.02%
29,geöffnet,0.02%
29,genug,0.02%
29,gedächtnis,0.02%
29,festhalten,0.02%
29,dazu,0.02%
29,darin,0.02%
29,damals,0.02%
29,besser,0.02%
29,anderes,0.02%
28,wiedergeburt,0.02%
28,wahrhaft,0.02%
28,strom,0.02%
28,sterne,0.02%
28,spürte,0.02%
28,sprechen,0.02%
28,schlaf,0.02%
28,ruhend,0.02%
28,neuen,0.02%
28,nackt,0.02%
28,klang,0.02%
28,kannst,0.02%
28,hände,0.02%
28,groß,0.02%
28,gekommen,0.02%
28,ganzheit,0.02%
28,finden,0.02%
28,endlich,0.02%
28,draußen,0.02%
28,bestimmt,0.02%
27,wären,0.02%
27,vergangenheit,0.02%
27,unendliche,0.02%
27,tief,0.02%
27,sphären,0.02%
27,schier,0.02%
27,römische,0.02%
27,plotias,0.02%
27,oft,0.02%
27,kopf,0.02%
27,keines,0.02%
27,hingegen,0.02%
27,einstmals,0.02%
27,eigenes,0.02%
27,durchsichtigkeit,0.02%
27,deines,0.02%
27,boden,0.02%
27,allerdings,0.02%
26,unendlichen,0.02%
26,unbewegt,0.02%
26,nämliche,0.02%
26,letzter,0.02%
26,kind,0.02%
26,hiezu,0.02%
26,gesagt,0.02%
26,geradezu,0.02%
26,ganze,0.02%
26,frieden,0.02%
26,erste,0.02%
25,zweite,0.02%
25,vorhanden,0.02%
25,unser,0.02%
25,unfähig,0.02%
25,trug,0.02%
25,tier,0.02%
