"Total Number of Words Containing and Related to ""[Bb]l[ei]nd,"" ""[Tt]aub,"" ""[Ss]tumm,"" ""[Ll]ähm,"" ""[Oo]hnm[aä]cht,"" and ""[Uu]nfähig"" in Whole Text",
Occurrences,Term
31,blindheit
25,unfähig
25,stummheit
21,stumm
17,stummen
11,blind
10,stumme
6,stummer
5,tauben
4,verstummt
4,blinde
3,ohnmächtig
3,ohnmacht
3,hilfsunfähigkeit
3,gelähmt
3,blinden
2,verstummte
2,unfähigkeit
2,taub
2,stummaufrauschend
2,staubige
2,sprachstummheit
2,lähmend
2,gelähmten
2,blindfingerig
2,blinder
2,blendende
2,allstummheit
1,verwünschungsgeblendet
1,verstummten
1,verstummen
1,verbotsgelähmt
1,urstummheit
1,unsichtbarstumm
1,unbewegtstumm
1,traumblind
1,taubündeln
1,taubheit
1,taubenumgurrt
1,taubengurren
1,taubengegurre
1,taube
1,taubblind
1,stummtosenden
1,stummspärliches
1,stummklingender
1,stummkeuchender
1,stummheitswellen
1,stummgewaltiger
1,stummes
1,stummem
1,stummdröhnenden
1,stummatemringenden
1,stummahnend
1,strahlenstummheit
1,steinerblindet
1,staubkühl
1,staubigkeit
1,staubig
1,sammetstummen
1,pflichtunfähigen
1,pflanzenstummheit
1,lärmblendung
1,lähmungsschichten
1,lähmungsprengenden
1,lähmungsbetäubt
1,lähmungen
1,lähmung
1,lähmende
1,kuhlstaubig
1,hohngeblendete
1,hilfsunfähigen
1,hilfsunfähige
1,hilfsunfähig
1,gelähmtlähmenden
1,fluchtgelähmt
1,farbenverstummender
1,ertaubt
1,entstummte
1,elendsgeblendet
1,einsamkeitsblind
1,eindunfähige
1,eidunfähigen
1,echostaub
1,blindwackere
1,blindunbewegten
1,blindsüchtig
1,blindstarrendes
1,blindnotwendigen
1,blindkühles
1,blindheitwas
1,blindheitswerkzur
1,blindfingerigen
1,blindem
1,blendung
1,blendend
1,blenden
1,aufgestummt
1,aberblinde
269,TOTAL (Tm)
