"Total Number of Words Containing and Related to ""[Ss]chl[äa]f"" in Whole Text",
Occurrences,Term
28,schlaf
7,schlafenden
7,schlafend
6,schlafe
4,schlaftrunk
3,schlafes
3,schlafen
2,schlaffer
2,schlafende
2,geschlafen
2,aberschlaf
1,weltenschlafes
1,weltenschlaf
1,silberschläfrigen
1,schläfriger
1,schläfrigen
1,schläfrig
1,schlafwandlerische
1,schlafwandelnd
1,schlaftum
1,schlafsüchtige
1,schlafschoß
1,schlafsatten
1,schlaflos
1,schlaflangsam
1,schlafköpfig
1,schlaffe
1,schlaff
1,schlafens
1,schlafbereitschaft
1,nichtschlaf
1,herumzuschlafen
1,herdenschlafes
1,herdenschlaf
1,frühentschlafene
1,einschlafen
1,eingeschlafen
1,dämmerschlaf
93,TOTAL (Tm)
